domain,name,exit_code,total_candidates
barman,L_PLAN_LENGTH,0,15
barman,S_PLAN_LENGTH,1,
blocksworld,L_PLAN_LENGTH,0,19
blocksworld,S_PLAN_LENGTH,1,
childsnack,L_PLAN_LENGTH,1,15
childsnack,S_PLAN_LENGTH,0,
depots,L_PLAN_LENGTH,1,91
depots,S_PLAN_LENGTH,1,
driverlog,L_PLAN_LENGTH,0,6
driverlog,S_PLAN_LENGTH,0,
floortile,L_PLAN_LENGTH,0,7
floortile,S_PLAN_LENGTH,0,
grid,L_PLAN_LENGTH,0,6
grid,S_PLAN_LENGTH,0,
gripper,L_PLAN_LENGTH,0,4
gripper,S_PLAN_LENGTH,1,
hiking,L_PLAN_LENGTH,1,10
hiking,S_PLAN_LENGTH,1,
logistics,L_PLAN_LENGTH,0,2
logistics,S_PLAN_LENGTH,0,
miconic,L_PLAN_LENGTH,0,5
miconic,S_PLAN_LENGTH,0,
parking,L_PLAN_LENGTH,1,6
parking,S_PLAN_LENGTH,1,
rovers,L_PLAN_LENGTH,0,21
rovers,S_PLAN_LENGTH,1,
satellite,L_PLAN_LENGTH,0,9
satellite,S_PLAN_LENGTH,1,
scanalyzer,L_PLAN_LENGTH,0,3
scanalyzer,S_PLAN_LENGTH,0,
woodworking,L_PLAN_LENGTH,1,11
woodworking,S_PLAN_LENGTH,1,
